questions,answers
asking about the government scheme,suggested him to contact agriculture office
anthracnose desease of chilly.,advised to spray captan @ 2 gram/ liter water.
asking about the storage of chillis,told him to store the chillis in a dry place or with vinegar
asking about the government scheme,suggested him to contact agriculture office
control of leaf brown in paddy,spray bavistin @ 1 gm per liter of water
asking about control measure of bacterial leaf spot and powdery mildew,recommended to spray streptocycline @ 1 g per 10 lit of water bacterial leaf spot + saaf @ 2 g for powdery mildew at the time of first disease symptoms appear. continue spraying at 20 days intervals.  always spray the chemical after plucking the leaves
asking about the government scheme,suggested him to contact agriculture office
asking about control measure of leaf curl,recommended to spray rogor @ 2 ml per lit of water
asking about the fertilizer doses in paddy,"suggested him to apply urea-18kg, ssp-17kg, mop-9kg per bigha"
asking about the control measure stem borer in rice,suggested him to spray tricel @2ml/lit of water
asking about beans query,recommended that application of rogor 2ml/lit of water
asking about dibrugarh  kvk address,"krishi vigyan kendra, dibrugarh, romai kordoibam, assam 786010"
asking about the control measure of leaf curl in cucumber,suggested him to spray rogor @2ml/lit of water
query regarding liming in pond,advice him to apply lime @ 8kg/bighas of water spread area
asking about vitamin suppliment for poultry.,suggested to give biospark-v by mixing with drinking water as vitamin suppliment for poultry.
asking about the bacterial blight in paddy,recommended to spray cristocycline @ 1 gram 10 lit water
query regarding fmd,ffected part inject intamox 2.5 mg  i/ mly dexona 2 ml - 0.6-0.8 ml i/ mly   af wash the foot with weak  potash solution  apply dressol on ater 5-6 dayys liver tonic orally or i/ mly in required dose
asking about the control of bacterial leaf spot in ginger,told him to spray roshan plus @ 2ml / l of water
asking about the control of downy mildew in bottle gourd,told him to spray roshan plus @ 2ml / l of water
asking about the control measure for downey mildew in bottle gourd,recommended to spray saaf @ 2 gram/lit water 2 sprays at 5 days interval.
asking about the fertilizer doses and nutrient management in coconut,"told him to apply 750 gm ,1250 gm , 900 gm mop / plant +""multiplex coconut special ""@ 200 gm / plant by ring method at the distance of 1.5 m"
query regarding insurance of agricultural product,ask to inform in dist agricultural office
asking about the control of insects in lemon,told him to spray malathion 50 ec @ 2ml / l of water
asking about powdery mildew problem in bottle gourd,suggested to spray saaf @ 2gm per litre of water
control of leaf rot in betel vine,spray 5% bordeaux mixture four times at seven days interval
asking about the fertilizer dose for paddy,"recommended to apply dap 6 kg/bigha,urea 5 kg/bigha,mop 9 kg/bigha,zinc  sulphate 1.5 kg/bigha,dry cowdung 3-4 cart load/bigha"
asking about control measure of leaf spot,recommended to spray saaf @ 2 g per lit of water
asking about cultural practices of coconut,explained in details
asking about control measure of brown spot,recommended to spray saaf @ 2 g per lit of water
asking about the control of fusarium wilt chillis,told him to spray rosahn plus @ 2ml / l of water
asking about the control of stem borer in paddy,suggested him to spray malathion 50 ec @ 2ml/liter of water
asking about control measure of leaf spot,recommended to spray saaf @ 2 g per lit of water
asking about the control of leaf folder in rice,told him to spray tricel 20 ec ( chlropyriphos) @ 2ml / l of water
asking about the time of sowing on paddy,suggested him to time of sowing may- july
micro nutrient requirment in bottle gourd,spray tracel 2 @ 2 gm per liter of water
query regarding liming in pond,advice him to apply lime @ 8kg/bighas of water spread area
query regarding duckery,kamrupa khaki campbell etc can be selct for duckery
query regarding some pig,ors orally as directed  inject fortious 30 ml anistamine 10 ml as directed --- after 5 days inject pepsid  inject imferon as directed
query regarding government scheme,ask to inform in  district  agriculture office @ dc office for information
asking spacing of transplanted paddy,recommended him 25 cm x 25 cm
gandhi bug in rice.,advised to apply malathion 5% dust as directed.
asking about the fertilizer dose for paddy,"recommended to apply urea 12 kg/bigha,ssp 17 kg/bigha,mop 9 kg/bigha,zinc sulphate 1.5 kg/bigha,dry cowdung 3-4 cart load."
asking about the control measure for hispa in paddy,recommended to spray tricel 20 ec(chloropyriphos) @ 2 ml/lit water
asking about nutrient management,recommended to spray tracel2 @ 2 ml per lit of water
query regarding yellowing in smooth gourd,advice him to spray saaf @ 2gm/litres of water
asking about control measure of fungal disease in bottle gourd.,suggested to saaf @ 2 gm/liter of water to control fungal disease in bottle gourd.
asking about fertilizer dose,recommended to apply urea- 17 kg ssp- 34 kg mop- 7 kg per bigha
asking about the recomanded fertilizer dose semi dwarf variety of sali rice,"advised him to apply 6 kg dap , 6 kg urea, 9 kg mop at the time of land preparation"
asking about fertilizer dose,recommended to apply urea-17 kg ssp- 34 kg mop- 7 kg per bigha
query regarding  weakness of leg  in local duck,vit b complex orally
asking about the time of sowing in paddy,suggested him to grow may-july
asking about plant protection in ridge gourd,suggested him to spray ridomil mz 72@ 1ml/lit in water
asking about control measures of rice crop,suggested him to spray tricel@2ml/lit of water
asking about the control measure of blight in tea,suggested him to apply blitox 50 @2gm/lit of water
asking about the control measure for looper caterpillar in tea,recommended to spray lamdex super @ 1 ml/lit water
asking about spacing of paddy,recommended to plant the seedling at a spacing of 20 cm x 10 cm
asking about control measures of coconut and papaya,suggested him to spray borax@2gm/lit of water for coconut and quinalphos@2.5ml/lit for papaya
asking about control measure of stem borer,recommended to farmer that the branches containing grubs have to be pruned. plugging the fresh holes with cotton soaked in monocrotophos solution or malathion 50 ec solution  mixed @ 2 ml/ lit of water will also control the pest.
asking about the control of rice hispa in rice,told him to spray tricel 20 ec(chlropyriphos ) @ 2ml / l of water
query regarding general  infection of some goat after flood,enrocin 15 ml inject as directed  inject  dexona 2 ml as directed  normal saline / dextrose 5% infuse i/ v ly depending upon  the  severioty of  condition  liver tonic & b complex can be given either injectable or in oral form
asking about the remedy to check fruit drop in arecanut,"recommended to apply urea 300 gram/plant,ssp 350 gram/plant,mop 200 gram/plant,borax 25 gram/plant mix with dried cowdung in ring method 3 ft away."
fertilizer requirment in paddy as top dressing,apply urea @ 3 kg per bigha as top dressing after 30 days of planting
asking about control measure of fruit fly,recommended to spray rogor @  2 ml per lit of water
asking about treatment of diarrhoea in poultry.,suggested to administer duaprim for the treatment of diarrhoea in poultry.
asking about nutrient application in sali rice,told him to aplly 5kg urea 6kg dap at planting time and 3 kg urea in tillaring stage and 3 kg urea in the time of pnicle initiation
asking for control of swarming caterpillar,recommended him to spray tricel @ 3 ml per litre of water
query regardind amount of water in copper oxychloride,suggested him to mix 2ml/lit of water
query regarding blast in saali rice,advice him to spray chloropyriphose @ 2ml/litrs of water
asking about fertilizer dose,recommended to apply urea-17 kg ssp- 34 kg mop- 7 kg per bigha
asking about control measure of stem borer,recommended to spray chloropyriphos 20 ec @ 2ml per lit of water
asking for fmd vaccination,recommended him to contact nearest veterinary hospital
asking about the control measure for bacterial leaf blight in rice,recommended to spray cristocycline @ 1 gram/5 lit water
asking about the variety for cabbage,"suggested him to variety- pusa mukta, pride of india"
asking about control measure of powdery mildew,recommended to spray saaf @ 2 g per lit of water
asking about control measure of fruit fly,recommended to spray rogor @ 2 ml per lit of water
asking about nutrients management in rice,"told him urea 5kg ,ssp 12kg and mop 8kg/bigha and 3 kg urea at tillering stage and  kg urea at flowering stage as a top dressing"
want to know top dressing in paddy,apply urea @ 5 kg per bigha after 30 days of planting
nutrient deficiency in paddy.,advised to spray paddy special @ 2 gram/ liter water.
nutrient deficiency in paddy.,advised to spray paddy special @ 2 gram/ liter water.
query regarding insect problem in long bean,advice him to spray malathion 50 ec @ 2ml/litres of water
asking about control measure of bacterial leaf spot,recommended to spray streptomycine @ 1 g per 10 lit of water followed by saaf @ 2 g per lit of water separately
asking about the top dressing in rice,"told him to apply 4kg urea , and 3kg mop / bigha"
query regarding castration of a pig,castration can be done at 2- 3 month of age    after castration give an antibiotic course
asking about source of banraja chicks for farming.,suggested to contact with nearest krishi vigyan kendra for banraja chicks.
query regarding rabi website,suggested him to refer kishaan suvidha apps
query regarding plant protection in rice field,suggested him to spray chlophyriphos@1.5ml/lit of water
query regarding plant protection in tomato,suggested him seed treatment with bavistin@2gm/kg of seed
query regarding sowing time of banana and spacing,suggested him to plant at the month of march-april at spacing of 1.8m x 1.8m
query regarding plant protection in rice field,suggested him to spray trycel@2ml/lit of water preferably in the morning hours
asking about waether report,the weather will remain mainly cloudy with possibilities of getting light to moderate rainfall in the coming 5 days. daily minimum and maximum temperature for the ensuing 5 days is predicted to be 25-26°c and 33-34°c respectively. expected morning and evening relative humidity will be 92-95% and 62-80% respectively. wind will blow mainly from south-easterly direction at a speed of 2-5 kmph.
asking about treatment of crd in poultry.,suggested to administer azithral by mixing with water once daily for 5 days.
asking about the control measure of bacterial wilt in brinjal,suggested him to spray streptomycine @1gm/10 lit of water
query regarding plant protection in gourds,suggested him to spray malathion 50ec@2ml/lit of water
asking about the veterinary queries,expert is not available
asking about the control of yellow stem  borer in rice,told him to spray tricel 20 ec @ 2ml / l of water
asking about the way to improve fruit size and quality in coconut,recommended to apply coconut special multi micro nutrient fertilizer @ 200 gram/plant in ring method 1.5 mt away mix with dry cowdung.
asking about the forestry,told him to contact forest dept
asking about the early vegetable to be grown in the current saeason,suggested to grow early cabbage at the current season
query regarding insect in chillies,recommanded to spray melathion 50 ec @ 2 ml / lits of water
asking about the control of flower dropping in bean,suggested him to spray multiplex all vegetables @ 2ml/liter of water
problem of blister blight in tea.,advised him to apply hexaconazole @ 1 ml / litre of water
asking about the control of leaf folder in rice,told him to spray chlropyriphos 20 ec @ 2ml / l of of water
asking about organic pesticide for catterpiller,told him plucking manually infected plant or apply bio pesticide
asking about veterinary quires,expert not available
asking about fertilizer dose in rice,told him to aplly 5kg urea after 30 days of planting and again 5kg after oanicle initiation stage
asking about the seed rate and varities of tomato,"seed rate - 60 -70gm / bigha 
varity-punjab chuhara, rocky , punjab kesari ,punjab early dwarf ,s-12, arka abha"
query regarding debility of a pregnant cow,dextrose 5% 2 bottle  ostocalcium 500 ml -- 30-40 ml orally daily
asking about the way to improve plant health and fruit size in lemon,recommended to spray npk @ 10 gram/lit water along with tracel @ 2 gram/lit water.
query regarding top dressing in sali rice,"suggested him to top dress with urea @4kg/bigha at 25 days after sowing and second top dressing at 40 das, urea@2kg/bigha and mop@4kg/bigha + mixed with moist soil"
asking about the control measure for rice hispa in rice,recommended to spray tricel 20 ec @ 2 ml/lit water
control of leaf rot in betel vine,spray 5 % bordeaux mixture four times at seven days interval
asking about the control of panama diseases in banana,told him to spray saaf @ 2gm / l of water
rice stem borer.,advised to spray chlorpyriphos @ 2 ml / liter water.
asking about the address of kvk in dibrugarh dist,kvk lahoal
asking for how to avail fmd vaccine free for animal,recommended him to contact  nearest veterinary hospital
asking about the control measure for leaf folder in rice,recommended to spray tricel 20 ec @ 2 ml/lit water.
query regarding fertilizer and pest problem in rice,"dr. hiranya kumar bhattacharyya, kvk
dibrugarh, aau, romai. p.o dibrugarh,
district- dibrugarh, assam- 786010
- - 9419015186
advised to apply tricel-20 @ 2ml/lit and npk(18:18:18) @ 5gm/lit. apply both the chemical separately , do not mix them together"
asking about waether report,"the weather will remain cloudy with possibilities of getting
moderate to heavy rainfall in the coming 5 days. daily
minimum and maximum temperature for the ensuing 5 days is
predicted to be 23-25°c and 27-31°c respectively. expected
morning and evening relative humidity will be 96-99% and 81-
97% respectively. wind will blow mainly from south-easterly
direction at a speed of 2-3 kmph."
asking about control measure of leaf curl,recommended to spray rogor @ 2 ml per lit of water
asking about the control measure for stem borer in paddy,recommended to spray tricel 20 ec @ 2 ml/lit water.
asking how much fertiliser to top dress at the time of panicle initiation,recommended him to top dress urea @ 2 kg per bigha and mop 2 kg per bigha at the time of panicle initiation (given low doses as already high amount of fertiliser used)
asking about the nutrient management in coconut,"told him to apply ""multiplex coconut special "" @ 200 gm / plant by ring method at the distance of 1.5 m from the tree"
query regarding gumosis,advised to apply contaf @ 2gm/lit
asking about the control of downy mildew in bottlegourd,told him to spray saaf @ 2gm / l of water
asking about the application of herbicide in standing paddy field,advised to do hand weeding or use paddy weeder to remove weeds.
asking about the control meaasure for cut worm in rice,recommended to spray tricel 20 ec(chloropyriphos) @ 2 ml/lit water 3 sprays at 5 days gape.
asking about control measure of stem borer,recommended to spray chloropyriphos 20 ec @ 2 ml per lit of water
asking about the vety. queries,expert is not available
asking about the application of crop booster to increase production of rice,recommended to spray paddy special(multiplex) @ 2 gram/lit water.
asking for control of stem borer in paddy,recommended him to spray tricel @ 3 ml per litre of water
asking about the nutrient management in brinjal,told him to spray planofix @ 1ml / 5 l of water
asking about the soil drenching insecticide in cabbage field,recommended to apply malathion 5% dust  @ 3 kg/bigha.
asking about some variety of tomato.,"advised him to select variety like rocky,pusa early dwarf,panjab chuhara,etc"
query regarding late season rice varrietes,"advised to grow gitesh , prafulla as late season rice variety"
query regarding fruit and shoot borer of brinjal,advised to apply decis @ 3ml/lit
micro nutrient requirment in paddy,spray paddy special @ 2 gm per liter of water
asking about control measure of aphid in chilli,told him to spray rogor 2ml/lit of water
asking about control measures of diseases in chilly,suggested him to spray blitox-50@ 2gm/lit of water
asking about control measure of anthronose in vine,suggested him to drench the base with 1% bordeux mixture(10gm/lit) of water at 10 days interval
asking about the fertlizer doses in tomato,"told him to apply 22 kg urea , 50 kg ssp , 13 kg mop / bigha 
seed treatment - treat the seeds with captaf or bavistin @ 2gm / kg of seeds"
asking about the seed treatment of tomato and cabbage,told him to apply mancozeb @ 2gm / kg of seeds
asking diseases control measure in vetelvine,suggested him to drench with bordeux mixture @ 2gm/lit of water around the base of the coconut tree
asking about the control measure for stem borer in paddy,recommended to spray tricel 20 ec(chloropyriphos) @ 2 ml/lit water
query regarding acute fprm of mastitis,mastilep for topical application  inject moxel and anistamine as directed keep ready mammitel for intra mammary infusion sos
asking control measure of diseases in vine,suggested him to spray bordeux mixture @ 10gm/lit of water
asking var. of ber,suggested him some var. like umran and gola
asking about  the control measure of bacterial wilt in bottle gourd,suggested him to spray streptomycine @1 gm/ 10 lit of water
query regarding some broiler having respiratory sound  (suspected to crd),enrox 1-2 ml/ lits of water depending upon the sevirioty of infection
query regarding root rot,advised to apply antracol/contaf @ 3gm/lit
asking about the control measure for for cut worm in paddy,recommended to spray tricel 20 ec @ 2 ml/lit water or karate @ 1.5 ml/lit water.
asking about the control-measure of three days sickness disease in bull,advice to inject melonex plus injection @ 7 ml along with anistamin injection @ 4-5 ml by intramuscular route
asking sowing time of citrus,suggested him that the planting time is from may-aug
asking var. for leafy vegetable,"suggested him some var. like sen kaampa, dharwad-1 and dharwad-2"
asking about the control measure of leaf curl in chilli,suggested him to spray rogor @2ml/lit of water
bacterial wilt of brinjal.,advised to spray streptomycin @ 1 gram / 10  liter water
asking about powdery mildew in hibiscus,told him spray captaf 1ml/lit of water
asking about caseworm problem in rice,suggested to spray rocket or tricel 20ec @ 2ml per litre of water
asking about the control of yellow stem borer in rice,told him to spray chlropyriphos @2ml / l of water
"asking about the varieties of radhish , cabbage , cauliflower and knol khol","cauliflower - early kunwari , pusa , katki,pusa deepali 
cabbage - golden acre , pride of india , pusa mukta 
knolkhol- white vienna
radish -pusa deshi , pusa chetki , pusa himani"
asking about the control measure of leaf curl in chilli,suggested him to spray rogor @2ml/lit of water
asking about leaf eating caterpillar in brinjal,recommended to spray tricel @ 2ml/l water for 3 days at 3 days interval
asking about the control measure for the damage caused by stem borer.,recommended to spray tricel 20 ec or classic 20 ec @ 2 ml/lit water.
asking about the control measure for fungal wilt in bottle gourd,recommended to spray roshan plus(hexaconazole)@ 1.5 ml/lit water.
asking about control measure of rice hispa,suggested him to spray tricel 20ec @ 2gm/lit of water
asking about control measure of rice hispa,told him spray tricel 20 ec 2ml/lit of water
asking for control of army worm,recommended him to apply malathion 5% dust surrounding the paddy field
psuedostem borer in banana.,advised to spray malathion 50 ec or killer  @ 2 ml/ liter water.
asking about the control of curling of leaf in  cauliflower,told him to spray rogor @ 1ml / l of water
asking about coconut planting,"told him pit size-1mx1mx1m
pit filling-filled up with mixture of top soil,20kg compost and 100g of 5% malathion dust up to 2/3 of pit"
asking about control measure of rice hispa,told him spray tricel 20ec 2ml/lit of water
asking about government scheme,suggested him details about scheme
asking about control measure of swarming catterpiller,told him spray decis 3ml/lit of water
asking about nutrient and seed company,"told him apply urea 12kg,ssp 50kg,mop 13kg and after 30 days spray npk 10g/lit of water
company name -syngenta and east west"
asking about government scheme,suggested him details about government scheme
asking animal scheme,suggested him to consult district kvk or agril. office
rice stem borer.,advised to spray tricel-20 or classic- 20 @ 2 ml/ liter water.
asking about the control measure for stem borer in paddy,recommended to spray tricel 20 ec @ 2 ml/lit water.
asking about fertiliser dose in cabbage,suggested him to apply 33kg urea 50kg ssp and 17kg mop
asking variety of papaya,suggested him variety like halflong and coorg honey dew and consult syngenta seed company
asking fertiliser dose in cabbage,"suggested him to apply urea @ 24kg ssp @ 50kg and mop @ 11kg/bigha, also apply malathion 5% dust @ 2-3kg/bigha"
asking about control measure of caterpillar,recommended to spray rogor @ 2 ml per lit of water
asking about nutrient management,recommended to spray bipul @ 2 ml per lit of water
call related to agriculture,ask to inform later for the reqired  answer
asking for control of leaf eating caterpillar,recommended him to spray malathion 50 ec @ 2 ml per litre of water
asking about the control of rice hispa,told him to spray tricel 20 ec @ 2ml / l of water
asking about the control measure for stem borer,recommended to spray tricel 20 ec @ 2 ml/lit water.
asking about control measure of stem borer,recommended to spray chloropyriphos 20 ec @ 2 ml per lit of water
asking about control measure of  brown spot,recommended to spray saaf @ 2 g per lit of water
asking about control measure of damping off in cabbage,suggested him to drench the soil with captan/captaf @ 2gm/lit of water
asking about the control measure for stem borer in paddy,recommended to spray tricel 20 ec @ 2 ml /lit water.
asking about control measure of leaf curl in chilly,suggested him to spray methyl demeton 25ec @ 2.5ml/lit of water
asking about control measure of yellow stem borer,suggested him to spray tricel-20ec 2ml/lit of water
asking about variety of cabbage,recommended to used variety pride of india golden acre
asking about control measure of wilt,recommended to spray agrimycine @ 1 g per 10 lit of water + saaf @ 2 g per lit of water at 7 days interval
asking about cultural practices of chili,"recommended to farmer
seed rate- 100 g per bigha
spacing - 60 cm x 45 cm 
fertilizer- urea- 15 kg ssp- 19 kg mop- 9 kg per bigha 
variety- select disease free seed from good sources
seed treatment- treat the seed with saaf @ 2 g pe 100 g seed"
asking about treatment of fmd in cow.,suggested to wash the feet with potash water and then spray scavon spray over the affected area thrice daily.
asking for seed treatment of radish,advise him to treat the seeds with captan 75 wp @ 3 gram per kg seeds  per litre of water
asking about the seed procurement of king chilli,advised to visit kvk for seed procurement
fungal wilt of bottle gourd.,advised to spray contaf or saaf @ 2 gram / liter water.
fruit borer in lemon.,advised to spray tricel- 20 or classic- 20 @ 2 ml/ liter water.
asking about nutrient management in paddy,recommended to apply paddy special @ 3 g per lit of water
asking about treatment of white diarrhoea in poultry.,suggested to administer tetracycline powder twice daily for 5 days.
asking about the varities of cabbages,"1.cauliflower - early kunwari ,pusa deepali , pusa katki 
2.cabbages -golden acre , pride of india , pusa mukta"
query regarding chilly cultivation time,advised to grow bhut jolokia ( king chilly) during the month of october
query regarding bhut jolokia antracnose,advised to apply blitox @ 2gm/lit
asking about the nutrient management in bottle gourd,told him to spray vipul @ 2ml / l of water
asking about fmd in cow.,explain in details about fmd vaccine and suggested to contact with nearest veterinarian for vaccination.
asking about control measure of stem borer in rice,told him spray tricel 20ec 2ml/lit of water
asking about the control measure of mouse for storage of paddy in godown,recommended to place trouble gum 4-5 pieces in different corners.
asking about the govt. scheme,suggested him to contact agriculture office
query regarding  decrease milk production,ostocalcium  & vimeral can be given orally as directed
asking about fertilizer dose of sweet potato,told him apply 7kg urea and 5kg potash/bigha after 1month of planting
query regarding infectin in layer,enrofloxacin powder 2-3 gm / lits of watter
query regarding weakness of a cow after  recovery from fmd,inject fmd 10 ml as directed
asking control measure of gandhi bug in rice,suggested him to dust malathion 5% to control bug and tricel 20ec or classic 20ec @ 2ml/lit of water in the morning hours
asking about control measure of rice ear cutting in paddy field,suggested him to spray tricel-20ec or decis @ 2ml/lit of water 2 times at 3-4 days interval in the morning hours
asking for control of stem rot,recommended him to drench the soil with bavistin @ 2 gram per litre of water
"asking about the varities of cabbage , radish ,cauliflower , knolkhol","radish-pusa deshi , pusa chetki ,pusa himani 
knolkhol-white vienna 
cabbages-golden acre , pride of india , pusa mukta
cauliflower-early kunwari , pusa katki , pusa deepali"
query regarding blackbug in paddy,advice him to spray tricel 20 @ 2ml/litres of water
asking about fertilizer dose of coconut,"told him apply 1250g urea,750g ssp and 900g mop/plant"
asking pit size for coconut planting,suggested him to maintain a pit size of 1m x 1m x 1m
asking to increase production in rice,suggested him to spray paddy special @ 2gm/lit of water in the morning hours
asking about nutrient management,recommended to spray paddy special @ 3 g per lit of water
rice stem borer,advised to spray chlorpyriphos @ 2 ml / liter water.
asking about the vetenery,expert not avaialable
asking control measure of fruit fly in brinjal,suggested him to spray methyl demeton/dimethoate @ 2ml/lit of water and blitox-50 @ 2gm/lit of water
query regarding infection in one eye of  a goat,gentycin e/ e drop - 2-3 drop bid
asking for control of termites,recommended him to drench the soil with tricel-20 / classic-20 @ 4 ml per litre of water
asking about the control measure of termite in coconut,suggested him to spray tricel @2ml/lit of water
query regarding disinfection of poultry premises,"at least 6-7 days should be keep blank after  disinfection of shed.sunlight exposure is necessary in the midst of these days, if possible .disinfectanant shpuld be spray externally also to mitigate or minimise  the source of  infection"
asking to increase fruit in gourds,suggested him to spray planofix @ 1ml/4.5lit of water at 10 days interval for 2 times
query regarding tulsi market information,"dr. hiranya kumar bhattacharyya, kvk
dibrugarh, aau, romai. p.o dibrugarh,
district- dibrugarh, assam- 786010
- - 09419015186"
nutrient deficiency in bottle gourd.,advised to spray tracel- 2 @ 2 gram / liter water.
asking last sowing time of black gram,suggested him blackgram can be sown upto 15 nov
control of blast in paddy,spray bavistin @ 1 gm per liter of water
asking about the control measure for fungal wilt in tomamto,recommended to spray saaf 1 gram/lit water.
asking about the way to increase flowering in bottlegourd,recommended to spray planofix(anaa)or nagamruta(anaa) @ 1 ml/4.5 lit water.
asking about diarrhoea in goat.,suggested to administer neblon powder @ 15 gm twice daily for 5 days.
asking control measure of fungal diseases in cauliflower,suggested him to spray bavistin or saaf @ 2gm/lit of water
asking about the name of hybrid variety of papaya,recommended to grow sapna f1 hybrid papaya
query regarding broiler frming,"housing , feed , medicine , electricity supply , distance from road direction of wind & sunlight etc should be considered before established a poultry farm"
asking about the fertilizer doses in pumpkin,told him to spray npk @ 10 gm / l of water
asking about he fertilizer in pumpkin,told him to spray npk @ 10 gm / l of water
asking about the control measure for cabbage borer,recommended to spray rocket @ 1.5 ml/lit water.
asking about the control measure for whiptail in cauliflower,"recommended to spray tracel 2, @ 2 gram/lit water."
micro nutrient requirement in cauliflower,spray tracel @ 2 gm per liter of water
query regarding root rot disease of tomato,advised to apply contaf ( hexaconazole) @ 2gm/lit
asking about cultural practices of tomato,explained in details
call related to agriculture,ask  to inform later for the answer
query regarding breed of pig  & farming,"landrace , saddle back ,berkshire etc can reared in a pig farm  iron supplement to the piglet & swine fever vaccine should be given in time tor proper management"
asking about the vety. queries,suggested him to contact agriculture office
asking about controlling of damping off in tomato,recommended to spray saaf @ 2gm/l water for 3 days at 5 days interval
asking to control bacterial blight in rice,suggested him to spray contaf/montaf @ 2ml/lit of water
asking about control measure of leaf spot,recommended to spray saaf @ 2 g per lit of water
asking about control measure of bud rot,told him apply bordeaux mixture (mix 20g lime in lit and copper sulphate 20g in 1 lit)
asking about fertilizer requirement in one bigha brinjal.,advised to apply 15 kg urea 42 kg super and 11 kg potash in one bigha of brinjal.
asking about fertilizer dose,recommended to apply urea- 10 kg ssp- 17 kg mop- 6 kg per bigha
asking about planting time of pea,recommended to sow the seed in between mid november to mid december
asking about bacterial wilt in tomato,told him spray steptocycline 1g/1lit of water
control measure of termite in coconut.,advised to spray tricel- 20 @ 4 ml/ liter water.
asking about control measure of cutworm,told him spray rrocket 2ml/lit of water
asking about caterpillar problem in rice,suggested to spray rocket @ 2ml per litre of water
control of bacterial wilt in tomato,soil drench with streptomycin @  1 gm per 10 liter of water
asking about variety of papaya,recommended that variety are surya
asking fertiliser dose of coconut,"suggested him to apply urea @ 1.5kg, ssp @ 3kg and mop @ 2kg/tree. also apply borax @ 40gm/tree"
asking to control diseases in plum,suggested him to drench the soil with bordeux mixture @ 10gm/lit of water and further spray malathion 50ec @ 2ml/lit of water
asking about carp management,recommended him to apply agrimin forte vitamin/cifax
asking about the control measure of bacterial wilt in tomato,suggested him to spray streptomycine @1gm/ 10 lit of water
asking fertiliser dose of gourds,"suggested him to apply urea @ 10kg, ssp @ 40kg and mop@ 10kg/bigha. also apply borax @ 2kg/bigha."
control of fruit fly in pumpkin,spray malathion 50 ec @ 2 ml per liter of water
asking about variety of cabbage,recommended to used variety pride of india
asking about growth hormone in bottle gourd,told him spray planofix 1ml/4.5lit of water
call related to agriculture,"artial to full cloudy sky with 4-8 octa will prevail during next 5 days. 43.0, 24.0, 11.0,
4.0 and 2.0 mm rainfall is predicted on 21st, 22nd, 23rd, 24th and 25th october, 2017
respectively. mainly north-easterly wind with a speed of 4.0-7.0 kmph is expected.
maximum temperature is predicted as 29.0, 29.0, 30.0, 30.0 and 31.0°c and
minimum as 24.0, 23.0, 22.0, 21.0 and 21.0°c on 21st, 22nd, 23rd, 24th and 25th
october october, 2017 respectively. morning and evening relative humidity will be
around 98-99% and 59-97% during next 5 days."
query regarding breed of cow,cross bred cattle is well adopted in assam& and adjoining area
asking about variety of papaya,recommended to used variety coorg honey dew and surya.
asking about control measure of root rot,told him spray contaf 2ml/lit of water
asking about,"the weather will remain partly cloudy with possibilities of
getting light to moderate rainfall in the coming 5days. daily
minimum and maximum temperature for the ensuing 5 days is
predicted to be 19-23°c and 30-32°c respectively. expected
morning and evening relative humidity will be 97-100% and 47-
92% respectively. wind will blow mainly from north-easterly
direction at a speed of 2-3 kmph."
rice stem borer.,advised to spray tricel- 20 or classic -20 @ 2 ml/ liter water.
asking about the control measure rice swarming caterpillar,suggested him to spray decis @2gm/ lit of water
feed for fishes,feed with mixture of rice bran and oil cake
asking about the control of fruit fly in bottlegourd,told him to spray malathion 50 ec @ 2ml / l of water
asking about damping off in cauliflower,recommended  to spray blitox 50 @ 2gm/l water or bavistin @ 2gm/l water
late blight on tomato.,advised to spray redomil gold @ 2 gram / liter water.
asking about the control measure of swarming caterpillar in cowpea,suggested him to spray decis @1ml/ lit of water
asking about control measure of bacterial blight,told him spray steptocyclin 1g/4.5lit of water
asking about the nutrient management in bottlegourd,told him to spray tracel 2 @ 2gm / l of water
asking about the control of bacterial wilt in tomato,told him to spray streptocycline @ 1gm / 10 l of water
nematode and corm borer.,advised to apply 40 gram furadon @ 40 gram / plant as directed.
asking about the control of leafrot in betelvine,told him to spray blitox 50 @ 2gm / l of water
asking about control measure of damping off,recommended to spray saaf @ 2 g per lit of water
asking about the fertilizer doses in coconut,"told him to apply 750 gm urea , 1250 gm ssp , 900 gm mop/plant  at the distance of 1.5 m from the tree and apply coconut special @ 200 gm / plant"
asking about the nutrient management in cucucmber,suggested him to spray planofix @1m/ 5 lit of water
asking to increase fruit in gourds,suggested him to spray planofix @ 2gm/4.5lit of water
asking about the nutrient management in tomato,suggested him to spray tracel @2ml/lit of water
asking about variety of pumpkin,recommended to used variety arka suryamuki and arka chandan.
asking about the govt. scheme,suggested him to contact agriculture office
asking about the control of powdery mildew in bottle gourd,told him to spray saaf @ 2gm / l of water
query regarding downy mildew in bottle,recommended to spray blitox 50 or bordeaux mixture
asking about the fertilizer doses in potato,"told him to apply 19 kg urea , 45 kg ssp , 12 kg mop / bigha"
asking about the nutrient management in cauliflower,told him to spray boron @ 2ml / l of water
query regarding mushroom cultivation,"dr. hiranya kumar bhattacharyya, kvk
dibrugarh, aau, romai. p.o dibrugarh,
district- dibrugarh, assam- 786010
- - 09419015186"
asking about the way to check fruit drop in coconut.,"recommended to apply urea 750 gram/plant,ssp 1250 gm/plant,mop 900 gm/plant,borax 50 gram/plant in ring method 1.5 mt away from the trunk."
