questions,answers,clean_question,clean_answer
asking about fertilizer dose in rice,recommended to apply urea-17 kg ssp- 35 kg mop- 9 kg per bigha,What is fertilizer dose in rice?,You should apply urea-17 kg ssp- 35 kg mop- 9 kg per bigha
query regarding fmd,wash the foot & mouth with  potash solution  spray dressol on ulcerated area inject intamox 2.5 mg i/mly inject dexona 2ml as directed after 5-6  days liver tonic & normal saline,What is fmd?,Wash the foot  mouth with potash solution spray dressol on ulcerated area inject intamox 2.5 mg i/mly inject dexona 2ml as directed after 5-6 days liver tonic  normal saline
asking about the government scheme,suggested him to contact agriculture office,What is the government scheme?,You can contact agriculture office
anthracnose desease of chilly.,advised to spray captan @ 2 gram/ liter water.,Anthracnose desease of chilly.?,Advised to spray captan @ 2 gram/ liter water.
asking about the storage of chillis,told him to store the chillis in a dry place or with vinegar,What is the storage of chillis?,Told him to store the chillis in a dry place or with vinegar
asking about the government scheme,suggested him to contact agriculture office,What is the government scheme?,You can contact agriculture office
control of leaf brown in paddy,spray bavistin @ 1 gm per liter of water,Control of leaf brown in paddy?,Spray bavistin @ 1 gm per liter of water
asking about control measure of bacterial leaf spot and powdery mildew,recommended to spray streptocycline @ 1 g per 10 lit of water bacterial leaf spot + saaf @ 2 g for powdery mildew at the time of first disease symptoms appear. continue spraying at 20 days intervals.  always spray the chemical after plucking the leaves,What is control measure of bacterial leaf spot and powdery mildew?,You should spray streptocycline @ 1 g per 10 lit of water bacterial leaf spot  saaf @ 2 g for powdery mildew at the time of first disease symptoms appear. continue spraying at 20 days intervals. always spray the chemical after plucking the leaves
asking about the government scheme,suggested him to contact agriculture office,What is the government scheme?,You can contact agriculture office
asking about control measure of leaf curl,recommended to spray rogor @ 2 ml per lit of water,What is control measure of leaf curl?,You should spray rogor @ 2 ml per lit of water
asking about the fertilizer doses in paddy,"suggested him to apply urea-18kg, ssp-17kg, mop-9kg per bigha",What is the fertilizer doses in paddy?,"You can apply urea-18kg, ssp-17kg, mop-9kg per bigha"
asking about the control measure stem borer in rice,suggested him to spray tricel @2ml/lit of water,What is the control measure stem borer in rice?,You can spray tricel @2ml/lit of water
asking about beans query,recommended that application of rogor 2ml/lit of water,What is beans query?,Recommended that application of rogor 2ml/lit of water
asking about dibrugarh  kvk address,"krishi vigyan kendra, dibrugarh, romai kordoibam, assam 786010",What is dibrugarh kvk address?,"Krishi vigyan kendra, dibrugarh, romai kordoibam, assam 786010"
asking about the control measure of leaf curl in cucumber,suggested him to spray rogor @2ml/lit of water,What is the control measure of leaf curl in cucumber?,You can spray rogor @2ml/lit of water
query regarding liming in pond,advice him to apply lime @ 8kg/bighas of water spread area,What is liming in pond?,You should apply lime @ 8kg/bighas of water spread area
asking about vitamin suppliment for poultry.,suggested to give biospark-v by mixing with drinking water as vitamin suppliment for poultry.,What is vitamin suppliment for poultry.?,Suggested to give biospark-v by mixing with drinking water as vitamin suppliment for poultry.
asking about the bacterial blight in paddy,recommended to spray cristocycline @ 1 gram 10 lit water,What is the bacterial blight in paddy?,You should spray cristocycline @ 1 gram 10 lit water
query regarding fmd,ffected part inject intamox 2.5 mg  i/ mly dexona 2 ml - 0.6-0.8 ml i/ mly   af wash the foot with weak  potash solution  apply dressol on ater 5-6 dayys liver tonic orally or i/ mly in required dose,What is fmd?,Ffected part inject intamox 2.5 mg i/ mly dexona 2 ml - 0.6-0.8 ml i/ mly af wash the foot with weak potash solution apply dressol on ater 5-6 dayys liver tonic orally or i/ mly in required dose
asking about the control of bacterial leaf spot in ginger,told him to spray roshan plus @ 2ml / l of water,What is the control of bacterial leaf spot in ginger?,Told him to spray roshan plus @ 2ml / l of water
asking about the control of downy mildew in bottle gourd,told him to spray roshan plus @ 2ml / l of water,What is the control of downy mildew in bottle gourd?,Told him to spray roshan plus @ 2ml / l of water
asking about the control measure for downey mildew in bottle gourd,recommended to spray saaf @ 2 gram/lit water 2 sprays at 5 days interval.,What is the control measure for downey mildew in bottle gourd?,You should spray saaf @ 2 gram/lit water 2 sprays at 5 days interval.
asking about the fertilizer doses and nutrient management in coconut,"told him to apply 750 gm ,1250 gm , 900 gm mop / plant +""multiplex coconut special ""@ 200 gm / plant by ring method at the distance of 1.5 m",What is the fertilizer doses and nutrient management in coconut?,"Told him to apply 750 gm ,1250 gm , 900 gm mop / plant multiplex coconut special @ 200 gm / plant by ring method at the distance of 1.5 m"
query regarding insurance of agricultural product,ask to inform in dist agricultural office,What is insurance of agricultural product?,Please inform in dist agricultural office
asking about the control of insects in lemon,told him to spray malathion 50 ec @ 2ml / l of water,What is the control of insects in lemon?,Told him to spray malathion 50 ec @ 2ml / l of water
asking about powdery mildew problem in bottle gourd,suggested to spray saaf @ 2gm per litre of water,What is powdery mildew problem in bottle gourd?,Suggested to spray saaf @ 2gm per litre of water
control of leaf rot in betel vine,spray 5% bordeaux mixture four times at seven days interval,Control of leaf rot in betel vine?,Spray 5 bordeaux mixture four times at seven days interval
asking about the fertilizer dose for paddy,"recommended to apply dap 6 kg/bigha,urea 5 kg/bigha,mop 9 kg/bigha,zinc  sulphate 1.5 kg/bigha,dry cowdung 3-4 cart load/bigha",What is the fertilizer dose for paddy?,"You should apply dap 6 kg/bigha,urea 5 kg/bigha,mop 9 kg/bigha,zinc sulphate 1.5 kg/bigha,dry cowdung 3-4 cart load/bigha"
asking about control measure of leaf spot,recommended to spray saaf @ 2 g per lit of water,What is control measure of leaf spot?,You should spray saaf @ 2 g per lit of water
asking about cultural practices of coconut,explained in details,What is cultural practices of coconut?,Explained in details
asking about control measure of brown spot,recommended to spray saaf @ 2 g per lit of water,What is control measure of brown spot?,You should spray saaf @ 2 g per lit of water
asking about the control of fusarium wilt chillis,told him to spray rosahn plus @ 2ml / l of water,What is the control of fusarium wilt chillis?,Told him to spray rosahn plus @ 2ml / l of water
asking about the control of stem borer in paddy,suggested him to spray malathion 50 ec @ 2ml/liter of water,What is the control of stem borer in paddy?,You can spray malathion 50 ec @ 2ml/liter of water
asking about control measure of leaf spot,recommended to spray saaf @ 2 g per lit of water,What is control measure of leaf spot?,You should spray saaf @ 2 g per lit of water
asking about the control of leaf folder in rice,told him to spray tricel 20 ec ( chlropyriphos) @ 2ml / l of water,What is the control of leaf folder in rice?,Told him to spray tricel 20 ec  chlropyriphos @ 2ml / l of water
asking about the time of sowing on paddy,suggested him to time of sowing may- july,What is the time of sowing on paddy?,You can time of sowing may- july
micro nutrient requirment in bottle gourd,spray tracel 2 @ 2 gm per liter of water,Micro nutrient requirment in bottle gourd?,Spray tracel 2 @ 2 gm per liter of water
query regarding liming in pond,advice him to apply lime @ 8kg/bighas of water spread area,What is liming in pond?,You should apply lime @ 8kg/bighas of water spread area
query regarding duckery,kamrupa khaki campbell etc can be selct for duckery,What is duckery?,Kamrupa khaki campbell etc can be selct for duckery
query regarding some pig,ors orally as directed  inject fortious 30 ml anistamine 10 ml as directed --- after 5 days inject pepsid  inject imferon as directed,What is some pig?,Ors orally as directed inject fortious 30 ml anistamine 10 ml as directed --- after 5 days inject pepsid inject imferon as directed
query regarding government scheme,ask to inform in  district  agriculture office @ dc office for information,What is government scheme?,Please inform in district agriculture office @ dc office for information
asking spacing of transplanted paddy,recommended him 25 cm x 25 cm,Asking spacing of transplanted paddy?,Recommended him 25 cm x 25 cm
gandhi bug in rice.,advised to apply malathion 5% dust as directed.,Gandhi bug in rice.?,Advised to apply malathion 5 dust as directed.
asking about the fertilizer dose for paddy,"recommended to apply urea 12 kg/bigha,ssp 17 kg/bigha,mop 9 kg/bigha,zinc sulphate 1.5 kg/bigha,dry cowdung 3-4 cart load.",What is the fertilizer dose for paddy?,"You should apply urea 12 kg/bigha,ssp 17 kg/bigha,mop 9 kg/bigha,zinc sulphate 1.5 kg/bigha,dry cowdung 3-4 cart load."
asking about the control measure for hispa in paddy,recommended to spray tricel 20 ec(chloropyriphos) @ 2 ml/lit water,What is the control measure for hispa in paddy?,You should spray tricel 20 ecchloropyriphos @ 2 ml/lit water
asking about nutrient management,recommended to spray tracel2 @ 2 ml per lit of water,What is nutrient management?,You should spray tracel2 @ 2 ml per lit of water
query regarding yellowing in smooth gourd,advice him to spray saaf @ 2gm/litres of water,What is yellowing in smooth gourd?,You should spray saaf @ 2gm/litres of water
asking about control measure of fungal disease in bottle gourd.,suggested to saaf @ 2 gm/liter of water to control fungal disease in bottle gourd.,What is control measure of fungal disease in bottle gourd.?,Suggested to saaf @ 2 gm/liter of water to control fungal disease in bottle gourd.
asking about fertilizer dose,recommended to apply urea- 17 kg ssp- 34 kg mop- 7 kg per bigha,What is fertilizer dose?,You should apply urea- 17 kg ssp- 34 kg mop- 7 kg per bigha
asking about the recomanded fertilizer dose semi dwarf variety of sali rice,"advised him to apply 6 kg dap , 6 kg urea, 9 kg mop at the time of land preparation",What is the recomanded fertilizer dose semi dwarf variety of sali rice?,"Advised him to apply 6 kg dap , 6 kg urea, 9 kg mop at the time of land preparation"
asking about fertilizer dose,recommended to apply urea-17 kg ssp- 34 kg mop- 7 kg per bigha,What is fertilizer dose?,You should apply urea-17 kg ssp- 34 kg mop- 7 kg per bigha
query regarding  weakness of leg  in local duck,vit b complex orally,What is weakness of leg in local duck?,Vit b complex orally
asking about the time of sowing in paddy,suggested him to grow may-july,What is the time of sowing in paddy?,You can grow may-july
asking about plant protection in ridge gourd,suggested him to spray ridomil mz 72@ 1ml/lit in water,What is plant protection in ridge gourd?,You can spray ridomil mz 72@ 1ml/lit in water
asking about control measures of rice crop,suggested him to spray tricel@2ml/lit of water,What is control measures of rice crop?,You can spray tricel@2ml/lit of water
asking about the control measure of blight in tea,suggested him to apply blitox 50 @2gm/lit of water,What is the control measure of blight in tea?,You can apply blitox 50 @2gm/lit of water
asking about the control measure for looper caterpillar in tea,recommended to spray lamdex super @ 1 ml/lit water,What is the control measure for looper caterpillar in tea?,You should spray lamdex super @ 1 ml/lit water
asking about spacing of paddy,recommended to plant the seedling at a spacing of 20 cm x 10 cm,What is spacing of paddy?,You should plant the seedling at a spacing of 20 cm x 10 cm
asking about control measures of coconut and papaya,suggested him to spray borax@2gm/lit of water for coconut and quinalphos@2.5ml/lit for papaya,What is control measures of coconut and papaya?,You can spray borax@2gm/lit of water for coconut and quinalphos@2.5ml/lit for papaya
asking about control measure of stem borer,recommended to farmer that the branches containing grubs have to be pruned. plugging the fresh holes with cotton soaked in monocrotophos solution or malathion 50 ec solution  mixed @ 2 ml/ lit of water will also control the pest.,What is control measure of stem borer?,You should farmer that the branches containing grubs have to be pruned. plugging the fresh holes with cotton soaked in monocrotophos solution or malathion 50 ec solution mixed @ 2 ml/ lit of water will also control the pest.
asking about the control of rice hispa in rice,told him to spray tricel 20 ec(chlropyriphos ) @ 2ml / l of water,What is the control of rice hispa in rice?,Told him to spray tricel 20 ecchlropyriphos  @ 2ml / l of water
query regarding general  infection of some goat after flood,enrocin 15 ml inject as directed  inject  dexona 2 ml as directed  normal saline / dextrose 5% infuse i/ v ly depending upon  the  severioty of  condition  liver tonic & b complex can be given either injectable or in oral form,What is general infection of some goat after flood?,Enrocin 15 ml inject as directed inject dexona 2 ml as directed normal saline / dextrose 5 infuse i/ v ly depending upon the severioty of condition liver tonic  b complex can be given either injectable or in oral form
asking about the remedy to check fruit drop in arecanut,"recommended to apply urea 300 gram/plant,ssp 350 gram/plant,mop 200 gram/plant,borax 25 gram/plant mix with dried cowdung in ring method 3 ft away.",What is the remedy to check fruit drop in arecanut?,"You should apply urea 300 gram/plant,ssp 350 gram/plant,mop 200 gram/plant,borax 25 gram/plant mix with dried cowdung in ring method 3 ft away."
fertilizer requirment in paddy as top dressing,apply urea @ 3 kg per bigha as top dressing after 30 days of planting,Fertilizer requirment in paddy as top dressing?,Apply urea @ 3 kg per bigha as top dressing after 30 days of planting
asking about control measure of fruit fly,recommended to spray rogor @  2 ml per lit of water,What is control measure of fruit fly?,You should spray rogor @ 2 ml per lit of water
asking about treatment of diarrhoea in poultry.,suggested to administer duaprim for the treatment of diarrhoea in poultry.,What is treatment of diarrhoea in poultry.?,Suggested to administer duaprim for the treatment of diarrhoea in poultry.
asking about nutrient application in sali rice,told him to aplly 5kg urea 6kg dap at planting time and 3 kg urea in tillaring stage and 3 kg urea in the time of pnicle initiation,What is nutrient application in sali rice?,Told him to aplly 5kg urea 6kg dap at planting time and 3 kg urea in tillaring stage and 3 kg urea in the time of pnicle initiation
asking for control of swarming caterpillar,recommended him to spray tricel @ 3 ml per litre of water,Asking for control of swarming caterpillar?,Recommended him to spray tricel @ 3 ml per litre of water
query regardind amount of water in copper oxychloride,suggested him to mix 2ml/lit of water,Query regardind amount of water in copper oxychloride?,You can mix 2ml/lit of water
query regarding blast in saali rice,advice him to spray chloropyriphose @ 2ml/litrs of water,What is blast in saali rice?,You should spray chloropyriphose @ 2ml/litrs of water
asking about fertilizer dose,recommended to apply urea-17 kg ssp- 34 kg mop- 7 kg per bigha,What is fertilizer dose?,You should apply urea-17 kg ssp- 34 kg mop- 7 kg per bigha
asking about control measure of stem borer,recommended to spray chloropyriphos 20 ec @ 2ml per lit of water,What is control measure of stem borer?,You should spray chloropyriphos 20 ec @ 2ml per lit of water
asking for fmd vaccination,recommended him to contact nearest veterinary hospital,Asking for fmd vaccination?,Recommended him to contact nearest veterinary hospital
asking about the control measure for bacterial leaf blight in rice,recommended to spray cristocycline @ 1 gram/5 lit water,What is the control measure for bacterial leaf blight in rice?,You should spray cristocycline @ 1 gram/5 lit water
asking about the variety for cabbage,"suggested him to variety- pusa mukta, pride of india",What is the variety for cabbage?,"You can variety- pusa mukta, pride of india"
asking about control measure of powdery mildew,recommended to spray saaf @ 2 g per lit of water,What is control measure of powdery mildew?,You should spray saaf @ 2 g per lit of water
asking about control measure of fruit fly,recommended to spray rogor @ 2 ml per lit of water,What is control measure of fruit fly?,You should spray rogor @ 2 ml per lit of water
asking about nutrients management in rice,"told him urea 5kg ,ssp 12kg and mop 8kg/bigha and 3 kg urea at tillering stage and  kg urea at flowering stage as a top dressing",What is nutrients management in rice?,"Told him urea 5kg ,ssp 12kg and mop 8kg/bigha and 3 kg urea at tillering stage and kg urea at flowering stage as a top dressing"
want to know top dressing in paddy,apply urea @ 5 kg per bigha after 30 days of planting,Want to know top dressing in paddy?,Apply urea @ 5 kg per bigha after 30 days of planting
nutrient deficiency in paddy.,advised to spray paddy special @ 2 gram/ liter water.,Nutrient deficiency in paddy.?,Advised to spray paddy special @ 2 gram/ liter water.
nutrient deficiency in paddy.,advised to spray paddy special @ 2 gram/ liter water.,Nutrient deficiency in paddy.?,Advised to spray paddy special @ 2 gram/ liter water.
query regarding insect problem in long bean,advice him to spray malathion 50 ec @ 2ml/litres of water,What is insect problem in long bean?,You should spray malathion 50 ec @ 2ml/litres of water
asking about control measure of bacterial leaf spot,recommended to spray streptomycine @ 1 g per 10 lit of water followed by saaf @ 2 g per lit of water separately,What is control measure of bacterial leaf spot?,You should spray streptomycine @ 1 g per 10 lit of water followed by saaf @ 2 g per lit of water separately
asking about the top dressing in rice,"told him to apply 4kg urea , and 3kg mop / bigha",What is the top dressing in rice?,"Told him to apply 4kg urea , and 3kg mop / bigha"
query regarding castration of a pig,castration can be done at 2- 3 month of age    after castration give an antibiotic course,What is castration of a pig?,Castration can be done at 2- 3 month of age after castration give an antibiotic course
asking about source of banraja chicks for farming.,suggested to contact with nearest krishi vigyan kendra for banraja chicks.,What is source of banraja chicks for farming.?,Suggested to contact with nearest krishi vigyan kendra for banraja chicks.
query regarding rabi website,suggested him to refer kishaan suvidha apps,What is rabi website?,You can refer kishaan suvidha apps
query regarding plant protection in rice field,suggested him to spray chlophyriphos@1.5ml/lit of water,What is plant protection in rice field?,You can spray chlophyriphos@1.5ml/lit of water
query regarding plant protection in tomato,suggested him seed treatment with bavistin@2gm/kg of seed,What is plant protection in tomato?,Suggested him seed treatment with bavistin@2gm/kg of seed
query regarding sowing time of banana and spacing,suggested him to plant at the month of march-april at spacing of 1.8m x 1.8m,What is sowing time of banana and spacing?,You can plant at the month of march-april at spacing of 1.8m x 1.8m
query regarding plant protection in rice field,suggested him to spray trycel@2ml/lit of water preferably in the morning hours,What is plant protection in rice field?,You can spray trycel@2ml/lit of water preferably in the morning hours
asking about waether report,the weather will remain mainly cloudy with possibilities of getting light to moderate rainfall in the coming 5 days. daily minimum and maximum temperature for the ensuing 5 days is predicted to be 25-26°c and 33-34°c respectively. expected morning and evening relative humidity will be 92-95% and 62-80% respectively. wind will blow mainly from south-easterly direction at a speed of 2-5 kmph.,What is waether report?,The weather will remain mainly cloudy with possibilities of getting light to moderate rainfall in the coming 5 days. daily minimum and maximum temperature for the ensuing 5 days is predicted to be 25-26c and 33-34c respectively. expected morning and evening relative humidity will be 92-95 and 62-80 respectively. wind will blow mainly from south-easterly direction at a speed of 2-5 kmph.
asking about treatment of crd in poultry.,suggested to administer azithral by mixing with water once daily for 5 days.,What is treatment of crd in poultry.?,Suggested to administer azithral by mixing with water once daily for 5 days.
asking about the control measure of bacterial wilt in brinjal,suggested him to spray streptomycine @1gm/10 lit of water,What is the control measure of bacterial wilt in brinjal?,You can spray streptomycine @1gm/10 lit of water
query regarding plant protection in gourds,suggested him to spray malathion 50ec@2ml/lit of water,What is plant protection in gourds?,You can spray malathion 50ec@2ml/lit of water
asking about the veterinary queries,expert is not available,What is the veterinary queries?,Expert is not available
asking about the control of yellow stem  borer in rice,told him to spray tricel 20 ec @ 2ml / l of water,What is the control of yellow stem borer in rice?,Told him to spray tricel 20 ec @ 2ml / l of water
asking about the way to improve fruit size and quality in coconut,recommended to apply coconut special multi micro nutrient fertilizer @ 200 gram/plant in ring method 1.5 mt away mix with dry cowdung.,What is the way to improve fruit size and quality in coconut?,You should apply coconut special multi micro nutrient fertilizer @ 200 gram/plant in ring method 1.5 mt away mix with dry cowdung.
asking about the forestry,told him to contact forest dept,What is the forestry?,Told him to contact forest dept
asking about the early vegetable to be grown in the current saeason,suggested to grow early cabbage at the current season,What is the early vegetable to be grown in the current saeason?,Suggested to grow early cabbage at the current season
query regarding insect in chillies,recommanded to spray melathion 50 ec @ 2 ml / lits of water,What is insect in chillies?,Recommanded to spray melathion 50 ec @ 2 ml / lits of water
asking about the control of flower dropping in bean,suggested him to spray multiplex all vegetables @ 2ml/liter of water,What is the control of flower dropping in bean?,You can spray multiplex all vegetables @ 2ml/liter of water
problem of blister blight in tea.,advised him to apply hexaconazole @ 1 ml / litre of water,Problem of blister blight in tea.?,Advised him to apply hexaconazole @ 1 ml / litre of water
asking about the control of leaf folder in rice,told him to spray chlropyriphos 20 ec @ 2ml / l of of water,What is the control of leaf folder in rice?,Told him to spray chlropyriphos 20 ec @ 2ml / l of of water
asking about organic pesticide for catterpiller,told him plucking manually infected plant or apply bio pesticide,What is organic pesticide for catterpiller?,Told him plucking manually infected plant or apply bio pesticide
asking about veterinary quires,expert not available,What is veterinary quires?,Expert not available
asking about fertilizer dose in rice,told him to aplly 5kg urea after 30 days of planting and again 5kg after oanicle initiation stage,What is fertilizer dose in rice?,Told him to aplly 5kg urea after 30 days of planting and again 5kg after oanicle initiation stage
asking about the seed rate and varities of tomato,"seed rate - 60 -70gm / bigha 
varity-punjab chuhara, rocky , punjab kesari ,punjab early dwarf ,s-12, arka abha",What is the seed rate and varities of tomato?,"Seed rate - 60 -70gm / bigha varity-punjab chuhara, rocky , punjab kesari ,punjab early dwarf ,s-12, arka abha"
query regarding debility of a pregnant cow,dextrose 5% 2 bottle  ostocalcium 500 ml -- 30-40 ml orally daily,What is debility of a pregnant cow?,Dextrose 5 2 bottle ostocalcium 500 ml -- 30-40 ml orally daily
asking about the way to improve plant health and fruit size in lemon,recommended to spray npk @ 10 gram/lit water along with tracel @ 2 gram/lit water.,What is the way to improve plant health and fruit size in lemon?,You should spray npk @ 10 gram/lit water along with tracel @ 2 gram/lit water.
query regarding top dressing in sali rice,"suggested him to top dress with urea @4kg/bigha at 25 days after sowing and second top dressing at 40 das, urea@2kg/bigha and mop@4kg/bigha + mixed with moist soil",What is top dressing in sali rice?,"You can top dress with urea @4kg/bigha at 25 days after sowing and second top dressing at 40 das, urea@2kg/bigha and mop@4kg/bigha  mixed with moist soil"
asking about the control measure for rice hispa in rice,recommended to spray tricel 20 ec @ 2 ml/lit water,What is the control measure for rice hispa in rice?,You should spray tricel 20 ec @ 2 ml/lit water
control of leaf rot in betel vine,spray 5 % bordeaux mixture four times at seven days interval,Control of leaf rot in betel vine?,Spray 5  bordeaux mixture four times at seven days interval
asking about the control of panama diseases in banana,told him to spray saaf @ 2gm / l of water,What is the control of panama diseases in banana?,Told him to spray saaf @ 2gm / l of water
rice stem borer.,advised to spray chlorpyriphos @ 2 ml / liter water.,Rice stem borer.?,Advised to spray chlorpyriphos @ 2 ml / liter water.
asking about the address of kvk in dibrugarh dist,kvk lahoal,What is the address of kvk in dibrugarh dist?,Kvk lahoal
asking for how to avail fmd vaccine free for animal,recommended him to contact  nearest veterinary hospital,Asking for what is the best way to avail fmd vaccine free for animal?,Recommended him to contact nearest veterinary hospital
asking about the control measure for leaf folder in rice,recommended to spray tricel 20 ec @ 2 ml/lit water.,What is the control measure for leaf folder in rice?,You should spray tricel 20 ec @ 2 ml/lit water.
query regarding fertilizer and pest problem in rice,"dr. hiranya kumar bhattacharyya, kvk
dibrugarh, aau, romai. p.o dibrugarh,
district- dibrugarh, assam- 786010
- - 9419015186
advised to apply tricel-20 @ 2ml/lit and npk(18:18:18) @ 5gm/lit. apply both the chemical separately , do not mix them together",What is fertilizer and pest problem in rice?,"Dr. hiranya kumar bhattacharyya, kvk dibrugarh, aau, romai. p.o dibrugarh, district- dibrugarh, assam- 786010 - - 9419015186 advised to apply tricel-20 @ 2ml/lit and npk18:18:18 @ 5gm/lit. apply both the chemical separately , do not mix them together"
asking about waether report,"the weather will remain cloudy with possibilities of getting
moderate to heavy rainfall in the coming 5 days. daily
minimum and maximum temperature for the ensuing 5 days is
predicted to be 23-25°c and 27-31°c respectively. expected
morning and evening relative humidity will be 96-99% and 81-
97% respectively. wind will blow mainly from south-easterly
direction at a speed of 2-3 kmph.",What is waether report?,The weather will remain cloudy with possibilities of getting moderate to heavy rainfall in the coming 5 days. daily minimum and maximum temperature for the ensuing 5 days is predicted to be 23-25c and 27-31c respectively. expected morning and evening relative humidity will be 96-99 and 81- 97 respectively. wind will blow mainly from south-easterly direction at a speed of 2-3 kmph.
asking about control measure of leaf curl,recommended to spray rogor @ 2 ml per lit of water,What is control measure of leaf curl?,You should spray rogor @ 2 ml per lit of water
asking about the control measure for stem borer in paddy,recommended to spray tricel 20 ec @ 2 ml/lit water.,What is the control measure for stem borer in paddy?,You should spray tricel 20 ec @ 2 ml/lit water.
asking how much fertiliser to top dress at the time of panicle initiation,recommended him to top dress urea @ 2 kg per bigha and mop 2 kg per bigha at the time of panicle initiation (given low doses as already high amount of fertiliser used),Asking how much fertiliser to top dress at the time of panicle initiation?,Recommended him to top dress urea @ 2 kg per bigha and mop 2 kg per bigha at the time of panicle initiation given low doses as already high amount of fertiliser used
asking about the nutrient management in coconut,"told him to apply ""multiplex coconut special "" @ 200 gm / plant by ring method at the distance of 1.5 m from the tree",What is the nutrient management in coconut?,Told him to apply multiplex coconut special  @ 200 gm / plant by ring method at the distance of 1.5 m from the tree
query regarding gumosis,advised to apply contaf @ 2gm/lit,What is gumosis?,Advised to apply contaf @ 2gm/lit
asking about the control of downy mildew in bottlegourd,told him to spray saaf @ 2gm / l of water,What is the control of downy mildew in bottlegourd?,Told him to spray saaf @ 2gm / l of water
asking about the application of herbicide in standing paddy field,advised to do hand weeding or use paddy weeder to remove weeds.,What is the application of herbicide in standing paddy field?,Advised to do hand weeding or use paddy weeder to remove weeds.
asking about the control meaasure for cut worm in rice,recommended to spray tricel 20 ec(chloropyriphos) @ 2 ml/lit water 3 sprays at 5 days gape.,What is the control meaasure for cut worm in rice?,You should spray tricel 20 ecchloropyriphos @ 2 ml/lit water 3 sprays at 5 days gape.
asking about control measure of stem borer,recommended to spray chloropyriphos 20 ec @ 2 ml per lit of water,What is control measure of stem borer?,You should spray chloropyriphos 20 ec @ 2 ml per lit of water
asking about the vety. queries,expert is not available,What is the vety. queries?,Expert is not available
asking about the application of crop booster to increase production of rice,recommended to spray paddy special(multiplex) @ 2 gram/lit water.,What is the application of crop booster to increase production of rice?,You should spray paddy specialmultiplex @ 2 gram/lit water.
asking for control of stem borer in paddy,recommended him to spray tricel @ 3 ml per litre of water,Asking for control of stem borer in paddy?,Recommended him to spray tricel @ 3 ml per litre of water
asking about the nutrient management in brinjal,told him to spray planofix @ 1ml / 5 l of water,What is the nutrient management in brinjal?,Told him to spray planofix @ 1ml / 5 l of water
asking about the soil drenching insecticide in cabbage field,recommended to apply malathion 5% dust  @ 3 kg/bigha.,What is the soil drenching insecticide in cabbage field?,You should apply malathion 5 dust @ 3 kg/bigha.
asking about some variety of tomato.,"advised him to select variety like rocky,pusa early dwarf,panjab chuhara,etc",What is some variety of tomato.?,"Advised him to select variety like rocky,pusa early dwarf,panjab chuhara,etc"
query regarding late season rice varrietes,"advised to grow gitesh , prafulla as late season rice variety",What is late season rice varrietes?,"Advised to grow gitesh , prafulla as late season rice variety"
query regarding fruit and shoot borer of brinjal,advised to apply decis @ 3ml/lit,What is fruit and shoot borer of brinjal?,Advised to apply decis @ 3ml/lit
micro nutrient requirment in paddy,spray paddy special @ 2 gm per liter of water,Micro nutrient requirment in paddy?,Spray paddy special @ 2 gm per liter of water
asking about control measure of aphid in chilli,told him to spray rogor 2ml/lit of water,What is control measure of aphid in chilli?,Told him to spray rogor 2ml/lit of water
asking about control measures of diseases in chilly,suggested him to spray blitox-50@ 2gm/lit of water,What is control measures of diseases in chilly?,You can spray blitox-50@ 2gm/lit of water
asking about control measure of anthronose in vine,suggested him to drench the base with 1% bordeux mixture(10gm/lit) of water at 10 days interval,What is control measure of anthronose in vine?,You can drench the base with 1 bordeux mixture10gm/lit of water at 10 days interval
asking about the fertlizer doses in tomato,"told him to apply 22 kg urea , 50 kg ssp , 13 kg mop / bigha 
seed treatment - treat the seeds with captaf or bavistin @ 2gm / kg of seeds",What is the fertlizer doses in tomato?,"Told him to apply 22 kg urea , 50 kg ssp , 13 kg mop / bigha seed treatment - treat the seeds with captaf or bavistin @ 2gm / kg of seeds"
asking about the seed treatment of tomato and cabbage,told him to apply mancozeb @ 2gm / kg of seeds,What is the seed treatment of tomato and cabbage?,Told him to apply mancozeb @ 2gm / kg of seeds
asking diseases control measure in vetelvine,suggested him to drench with bordeux mixture @ 2gm/lit of water around the base of the coconut tree,Asking diseases control measure in vetelvine?,You can drench with bordeux mixture @ 2gm/lit of water around the base of the coconut tree
asking about the control measure for stem borer in paddy,recommended to spray tricel 20 ec(chloropyriphos) @ 2 ml/lit water,What is the control measure for stem borer in paddy?,You should spray tricel 20 ecchloropyriphos @ 2 ml/lit water
query regarding acute fprm of mastitis,mastilep for topical application  inject moxel and anistamine as directed keep ready mammitel for intra mammary infusion sos,What is acute fprm of mastitis?,Mastilep for topical application inject moxel and anistamine as directed keep ready mammitel for intra mammary infusion sos
asking control measure of diseases in vine,suggested him to spray bordeux mixture @ 10gm/lit of water,Asking control measure of diseases in vine?,You can spray bordeux mixture @ 10gm/lit of water
asking var. of ber,suggested him some var. like umran and gola,Asking var. of ber?,Suggested him some var. like umran and gola
asking about  the control measure of bacterial wilt in bottle gourd,suggested him to spray streptomycine @1 gm/ 10 lit of water,What is the control measure of bacterial wilt in bottle gourd?,You can spray streptomycine @1 gm/ 10 lit of water
query regarding some broiler having respiratory sound  (suspected to crd),enrox 1-2 ml/ lits of water depending upon the sevirioty of infection,What is some broiler having respiratory sound suspected to crd?,Enrox 1-2 ml/ lits of water depending upon the sevirioty of infection
